Page Name,Campaign name,Ad Set Name,Ad name,Ads,Impression device,Platform,Results,Cost per result,Amount spent (USD),Reporting starts,Reporting ends
Emrys Technologies,Bathroom Remodel - Tonic MAX MEDIA T[08/25/2024],Bathroom Remodel - Tonic MAX MEDIA T [08/25/2024],Bathroom Remodel - Tonic MAX MEDIA T,Bathroom Remodel - Tonic MAX MEDIA T,iphone,facebook,40,94.97,"3,798.91",12/1/2024,12/31/2024
Emrys Technologies,Roofing - Tonic MAX MEDIA T [08/13/2024],Roofing - Tonic MAX MEDIA T [08/13/2024],Roofing - Tonic MAX MEDIA T,Roofing - Tonic MAX MEDIA T,android_smartphone,facebook,"6,870",0.23,"1,588",12/1/2024,12/31/2024
Emrys Technologies,Home Renovation- Tonic MAX MEDIA T [08/13/2024],Home Renovation- Tonic MAX MEDIA T[08/13/2024],Home Renovation- Tonic MAX MEDIA T,Home Renovation- Tonic MAX MEDIA T,iphone,facebook,"13,082",0.13,"1,753",12/1/2024,12/31/2024
Emrys Technologies,Solar - Tonic MAX MEDIA T [08/13/2024],Solar - Tonic MAX MEDIA T [08/13/2024],Solar - Tonic MAX MEDIA T,Solar - Tonic MAX MEDIA T,android_smartphone,facebook,"4,940",0.95,"4,740",12/1/2024,12/31/2024
Emrys Technologies,Solar - Tonic MAX MEDIA T [08/13/2024],Solar - Tonic MAX MEDIA T [08/13/2024],Solar - Tonic MAX MEDIA T,Solar - Tonic MAX MEDIA T,iphone,facebook,"11,242",0.19,"2,179",12/1/2024,12/31/2024
Emrys Technologies,Home Renovation- Tonic MAX MEDIA T [08/13/2024],Home Renovation- Tonic MAX MEDIA T[08/13/2024],Home Renovation- Tonic MAX MEDIA T,Home Renovation- Tonic MAX MEDIA T,android_smartphone,facebook,"5,938",0.56,"3,368",12/1/2024,12/31/2024
Emrys Technologies,Roofing - Tonic MAX MEDIA T [08/13/2024],Roofing - Tonic MAX MEDIA T [08/13/2024],Roofing - Tonic MAX MEDIA T,Roofing - Tonic MAX MEDIA T,iphone,facebook,"12,404",0.24,"3,019",12/1/2024,12/31/2024
Emrys Technologies,Bathroom Remodel - Tonic MAX MEDIA T[08/25/2024],Bathroom Remodel - Tonic MAX MEDIA T [08/25/2024],Bathroom Remodel - Tonic MAX MEDIA T,Bathroom Remodel - Tonic MAX MEDIA T,android_smartphone,facebook,32,53.53,"1,713.09",12/1/2024,12/31/2024
Emrys Technologies,Bathroom Remodel - Tonic MAX MEDIA T[08/25/2024],Bathroom Remodel - Tonic MAX MEDIA T [08/25/2024],Bathroom Remodel - Tonic MAX MEDIA T,Bathroom Remodel - Tonic MAX MEDIA T,ipad,facebook,20,22.98,459.6,12/1/2024,12/31/2024
Emrys Technologies,Solar - Tonic MAX MEDIA T [08/13/2024],Solar - Tonic MAX MEDIA T [08/13/2024],Solar - Tonic MAX MEDIA T,Solar - Tonic MAX MEDIA T,ipad,facebook,262,2.64,694,12/1/2024,12/31/2024
Emrys Technologies,Home Renovation- Tonic MAX MEDIA T [08/13/2024],Home Renovation- Tonic MAX MEDIA T[08/13/2024],Home Renovation- Tonic MAX MEDIA T,Home Renovation- Tonic MAX MEDIA T,ipad,facebook,349,1.62,566,12/1/2024,12/31/2024
Emrys Technologies,Roofing - Tonic MAX MEDIA T [08/13/2024],Roofing - Tonic MAX MEDIA T [08/13/2024],Roofing - Tonic MAX MEDIA T,Roofing - Tonic MAX MEDIA T,ipad,facebook,392,1.24,487,12/1/2024,12/31/2024
