Page Name,Campaign name,Ad Set Name,Ad name,Ads,Impression device,Platform,Results,Cost per result,Amount spent (USD),Reporting starts,Reporting ends
Emrys Technologies,Bathroom Remodel - Tonic MAX MEDIA T[08/25/2024],Bathroom Remodel - Tonic MAX MEDIA T [08/25/2024],Bathroom Remodel - Tonic MAX MEDIA T,Bathroom Remodel - Tonic MAX MEDIA T,iphone,facebook,63,0.27,17.36,11/1/2024,11/30/2024
Emrys Technologies,Roofing - Tonic MAX MEDIA T [08/13/2024],Roofing - Tonic MAX MEDIA T [08/13/2024],Roofing - Tonic MAX MEDIA T,Roofing - Tonic MAX MEDIA T,android_smartphone,facebook,"6,630",0.28,"1,883",11/1/2024,11/30/2024
Emrys Technologies,Home Renovation- Tonic MAX MEDIA T [08/13/2024],Home Renovation- Tonic MAX MEDIA T[08/13/2024],Home Renovation- Tonic MAX MEDIA T,Home Renovation- Tonic MAX MEDIA T,iphone,facebook,"11,852",0.14,"1,752",11/1/2024,11/30/2024
Emrys Technologies,Solar - Tonic MAX MEDIA T [08/13/2024],Solar - Tonic MAX MEDIA T [08/13/2024],Solar - Tonic MAX MEDIA T,Solar - Tonic MAX MEDIA T,android_smartphone,facebook,"7,392",0.91,"6,744",11/1/2024,11/30/2024
Emrys Technologies,Home Renovation- Tonic MAX MEDIA T [08/13/2024],Home Renovation- Tonic MAX MEDIA T[08/13/2024],Home Renovation- Tonic MAX MEDIA T,Home Renovation- Tonic MAX MEDIA T,android_smartphone,facebook,"6,606",0.51,"3,400",11/1/2024,11/30/2024
Emrys Technologies,Solar - Tonic MAX MEDIA T [08/13/2024],Solar - Tonic MAX MEDIA T [08/13/2024],Solar - Tonic MAX MEDIA T,Solar - Tonic MAX MEDIA T,iphone,facebook,"14,350",0.24,"3,472",11/1/2024,11/30/2024
Emrys Technologies,Roofing - Tonic MAX MEDIA T [08/13/2024],Roofing - Tonic MAX MEDIA T [08/13/2024],Roofing - Tonic MAX MEDIA T,Roofing - Tonic MAX MEDIA T,iphone,facebook,"12,674",0.29,"3,687",11/1/2024,11/30/2024
Emrys Technologies,Home mortgage - Tonic MAX MEDIA T[08/20/2024],Home mortgage - Tonic MAX MEDIA T,Home mortgage - Tonic MAX MEDIA T,Home mortgage - Tonic MAX MEDIA T,android_smartphone,facebook,"2,175",0.88,"1,922",11/1/2024,11/30/2024
Emrys Technologies,Bathroom Remodel - Tonic MAX MEDIA T[08/25/2024],Bathroom Remodel - Tonic MAX MEDIA T [08/25/2024],Bathroom Remodel - Tonic MAX MEDIA T,Bathroom Remodel - Tonic MAX MEDIA T,android_smartphone,facebook,45,0.13,5.94,11/1/2024,11/30/2024
Emrys Technologies,Home mortgage - Tonic MAX MEDIA T[08/20/2024],Home mortgage - Tonic MAX MEDIA T,Home mortgage - Tonic MAX MEDIA T,Home mortgage - Tonic MAX MEDIA T,iphone,facebook,"3,732",0.28,"1,070.69",11/1/2024,11/30/2024
Emrys Technologies,Solar - Tonic MAX MEDIA T [08/13/2024],Solar - Tonic MAX MEDIA T [08/13/2024],Solar - Tonic MAX MEDIA T,Solar - Tonic MAX MEDIA T,ipad,facebook,981,1.04,"1,023",11/1/2024,11/30/2024
Emrys Technologies,Bathroom Remodel - Tonic MAX MEDIA T[08/25/2024],Bathroom Remodel - Tonic MAX MEDIA T [08/25/2024],Bathroom Remodel - Tonic MAX MEDIA T,Bathroom Remodel - Tonic MAX MEDIA T,ipad,facebook,30,0.05,1.6,11/1/2024,11/30/2024
