Page Name,Campaign name,Ad Set Name,Ad name,Ads,Impression device,Platform,Results,Cost per result,Amount spent (USD),Reporting starts,Reporting ends
Emrys Technologies,Roofing - Tonic MAX MEDIA T [08/13/2024],Roofing - Tonic MAX MEDIA T [08/13/2024],Roofing - Tonic MAX MEDIA T,Roofing - Tonic MAX MEDIA T,android_smartphone,facebook,"3,552",0.52,"1,853",9/1/2024,9/30/2024
Emrys Technologies,Bathroom Remodel - Tonic MAX MEDIA T[08/25/2024],Bathroom Remodel - Tonic MAX MEDIA T [08/25/2024],Bathroom Remodel - Tonic MAX MEDIA T,Bathroom Remodel - Tonic MAX MEDIA T,iphone,facebook,69,0.26,18.5,9/1/2024,9/30/2024
Emrys Technologies,Home Renovation- Tonic MAX MEDIA T [08/13/2024],Home Renovation- Tonic MAX MEDIA T[08/13/2024],Home Renovation- Tonic MAX MEDIA T,Home Renovation- Tonic MAX MEDIA T,iphone,facebook,"13,583",0.14,"1,946",9/1/2024,9/30/2024
Emrys Technologies,Solar - Tonic MAX MEDIA T [08/13/2024],Solar - Tonic MAX MEDIA T [08/13/2024],Solar - Tonic MAX MEDIA T,Solar - Tonic MAX MEDIA T,android_smartphone,facebook,"3,967",1.62,"6,442",9/1/2024,9/30/2024
Emrys Technologies,Home mortgage - Tonic MAX MEDIA T[08/20/2024],Home mortgage - Tonic MAX MEDIA T,Home mortgage - Tonic MAX MEDIA T,Home mortgage - Tonic MAX MEDIA T,android_smartphone,facebook,"3,967",1.62,"6,443.25",9/1/2024,9/30/2024
Emrys Technologies,Solar - Tonic MAX MEDIA T [08/13/2024],Solar - Tonic MAX MEDIA T [08/13/2024],Solar - Tonic MAX MEDIA T,Solar - Tonic MAX MEDIA T,iphone,facebook,"17,500",0.18,"3,233",9/1/2024,9/30/2024
Emrys Technologies,Home Renovation- Tonic MAX MEDIA T [08/13/2024],Home Renovation- Tonic MAX MEDIA T[08/13/2024],Home Renovation- Tonic MAX MEDIA T,Home Renovation- Tonic MAX MEDIA T,android_smartphone,facebook,"6,249",0.66,"4,154",9/1/2024,9/30/2024
Emrys Technologies,Roofing - Tonic MAX MEDIA T [08/13/2024],Roofing - Tonic MAX MEDIA T [08/13/2024],Roofing - Tonic MAX MEDIA T,Roofing - Tonic MAX MEDIA T,iphone,facebook,"17,413",0.21,"3,739",9/1/2024,9/30/2024
Emrys Technologies,Bathroom Remodel - Tonic MAX MEDIA T[08/25/2024],Bathroom Remodel - Tonic MAX MEDIA T [08/25/2024],Bathroom Remodel - Tonic MAX MEDIA T,Bathroom Remodel - Tonic MAX MEDIA T,android_smartphone,facebook,56,0.15,8.45,9/1/2024,9/30/2024
Emrys Technologies,Home mortgage - Tonic MAX MEDIA T[08/20/2024],Home mortgage - Tonic MAX MEDIA T,Home mortgage - Tonic MAX MEDIA T,Home mortgage - Tonic MAX MEDIA T,iphone,facebook,"17,500",0.18,"3,231",9/1/2024,9/30/2024
